event_key,detected_at,last_seen,person,event,category,momentum,acceleration,spice,risk,youtube_saturation,opportunity,alert,angle,status,tts_forecast_hours,window_state,window_remaining_min,sources,video_count_6h,score_version
story-peter-krause,2026-09-21T16:23:26.912Z,2026-09-26T01:11:46.839Z,Peter Krause,Peter Krause: trending now,scandal,13,-8,7,34,8,22,ARCHIVE,What the Peter Krause peter krause: enters the ‘line of fire’ and opens up about his shocking ‘9-1-1’ exit filings actually say — line by line — the part that was not supposed to be public,RESEARCH,2.6,closed,0,trends|news,3,v2
story-oliver-hudson,2026-09-26T00:21:36.496Z,2026-09-26T00:21:36.496Z,Oliver Hudson,Oliver Hudson: Talks Pressure of Growing Up with ‘Icon’ Mom Goldie Hawn: ‘I Wrestle with Insecurity’,celebrity,36,0,5,64,0,31,ARCHIVE,The Oliver Hudson story is a proxy fight about something bigger — the other side of the fight,RESEARCH,6,unknown,210,trends|news,0,v2
story-mark-hamill,2026-09-26T00:21:36.496Z,2026-09-26T00:21:36.496Z,Mark Hamill,"Mark Hamill: ‘Darkwing Duck’ Revived at Disney+ Starring Mark Hamill, Seth Rogen, Lizzy Caplan and Lilimar",celebrity,28,0,0,34,57,20,ARCHIVE,The Mark Hamill story is a proxy fight about something bigger — the other side of the fight,RESEARCH,5.3,closed,0,news,23,v2
story-seth-rogen,2026-09-26T00:21:36.496Z,2026-09-26T00:21:36.496Z,Seth Rogen,Seth Rogen: trending now,celebrity,31,0,0,34,10,25,ARCHIVE,The Seth Rogen story is a proxy fight about something bigger — the other side of the fight,RESEARCH,5.3,closed,0,trends|news,4,v2
story-olivia-rodrigo,2026-09-25T23:55:27.638Z,2026-09-26T00:21:36.496Z,Olivia Rodrigo,Olivia Rodrigo: tour,scandal,24,-4,0,34,63,21,ARCHIVE,What the Olivia Rodrigo olivia rodrigo: tour filings actually say — line by line — the other side of the fight,RESEARCH,2.3,closed,-38,trends|news,25,v2
story-ray-kerr,2026-09-25T23:11:11.808Z,2026-09-25T23:22:04.524Z,Ray Kerr,Ray Kerr: Braves vs. Marlins chat and discussion: Ray Kerr vs. Eury Pérez,scandal,25,-3,9,64,3,25,ARCHIVE,What the Ray Kerr ray kerr: braves vs. marlins chat and discussion: ray kerr vs. eury pérez filings actually say — line by line — the other side of the fight,RESEARCH,3.1,closed,0,news,1,v2
story-justin-verlander,2026-09-25T23:11:11.808Z,2026-09-25T23:22:04.524Z,Justin Verlander,Justin Verlander: trending now,celebrity,17,-19,0,34,63,17,ARCHIVE,The Justin Verlander story is a proxy fight about something bigger — the other side of the fight,ARCHIVED,4.5,closed,0,trends|news,25,v2
story-chris-spatola,2026-09-25T23:11:11.808Z,2026-09-25T23:22:04.524Z,Chris Spatola,Chris Spatola: cause of death,scandal,26,-5,0,34,3,25,ARCHIVE,What the Chris Spatola chris spatola: cause of death filings actually say — line by line — the other side of the fight,RESEARCH,3.1,closed,0,trends|news,1,v2
story-will-smith,2026-09-23T07:06:16.371Z,2026-09-25T22:33:49.429Z,Will Smith,Will Smith: trending now,scandal,31,16,7,64,63,21,ARCHIVE,The Will Smith will smith: rob lowe explains why he was ‘the only person happy’ when will smith slapped chris rock at the oscars story is actually a money story — the detail nobody has explained,BOOSTED,6.6,closed,-3562,trends|news,25,v2
story-rob-lowe,2026-09-25T09:45:43.469Z,2026-09-25T22:33:49.429Z,Rob Lowe,Rob Lowe: explains why he was ‘the only person happy’ when Will Smith slapped Chris Rock at the Oscars,tech,22,-6,7,64,10,21,ARCHIVE,The Rob Lowe rob lowe: explains why he was ‘the only person happy’ when will smith slapped chris rock at the oscars story is actually a money story — the detail nobody has explained,RESEARCH,6.5,closed,0,trends|news,4,v2
story-chris-rock,2026-09-25T22:33:49.429Z,2026-09-25T22:33:49.429Z,Chris Rock,Chris Rock: Rob Lowe explains why he was ‘the only person happy’ when Will Smith slapped Chris Rock at the Oscars,tech,28,0,7,64,53,19,ARCHIVE,The Chris Rock chris rock: rob lowe explains why he was ‘the only person happy’ when will smith slapped chris rock at the oscars story is actually a money story — the detail nobody has explained,RESEARCH,6.6,closed,0,news,21,v2
